array_size,cpu_time,gpu_time
10000,0.000026,0.000013
20000,0.000050,0.000011
30000,0.000076,0.000013
40000,0.000101,0.000013
50000,0.000127,0.000014
60000,0.000153,0.000016
70000,0.000178,0.000016
80000,0.000209,0.000017
90000,0.000229,0.000020
100000,0.000254,0.000020
120000,0.000307,0.000021
140000,0.000361,0.000022
160000,0.000418,0.000025
180000,0.000463,0.000027
200000,0.000521,0.000028
250000,0.000653,0.000037
300000,0.001189,0.000091
350000,0.000919,0.000122
400000,0.001052,0.000147
450000,0.001971,0.000200
500000,0.001324,0.000237
550000,0.001444,0.000252
600000,0.002393,0.000282
